post_id,title,content,created_at,brand,sentiment,pain_points,highlights
1,Juvaly 馥華晶粹,不知道有沒有人跟我一樣，到了換季或是天氣逐漸變熱的時候 肌膚多少都會出一些狀況，以我自己而言，到了換季我的泛紅會特別的明顯 有時候如果潮濕+悶熱的話，更會長出許多小丘疹，但是也只有在換季的時候特別明顯 所以到了換季的時候我都會更換手邊的保養品，其中我將精華換成了Juvaly的馥華晶粹，不得不說肌膚的狀,,Juvaly,正面,,保濕有感
2,Juvaly 馥華晶粹,⭐️️ ⭐️️ ⭐️️ Juvaly 姿芙莉 馥華晶粹 Brightening Essence (全能抗氧化精華液) 在官方買得 [馥華經典組] 裡面包含：水洗式面膜、前導晶露、精華、乳液、防曬隔離 (下圖截自官方)➽ 特色：輕盈無負擔｜緊緻肌膚｜延緩老化｜調理油水平衡｜亮白肌膚｜14天有感 -➽ 心,,Juvaly,非評論,,
3,Juvaly 馥華晶粹,先來看看手部測試 左邊什麼都沒擦 右邊擦了一滴馥華晶粹過不幾分鐘的時間 右手立刻嫩了好幾波 對比超明顯！ 瞬間真的有點不太相信 自己看到了什麼~~~😲😲😲  Juvaly馥華晶粹是非常輕盈的水狀精華 流動性高且清爽不油膩上臉之後能被光速吸收 沒有什麼刺激性的香氣 無論乾肌、油肌、痘肌 任何膚質都適用~,,Juvaly,正面,,"輕盈好吸收, 保濕有感, 無香精"
4,Juvaly 馥華晶粹,這個品牌改過名字，以前叫Juva，現在叫Juvaly，百貨公司設有專櫃，但是據點不多 它們家的保養品以高科技的方式，用富勒烯（Fullerene）高於維他命C 172倍的抗氧化力，解決造成多種肌膚問題的過度氧化，可以用直接有效的肌膚保養方法，從根本解決大部分的肌膚問題。 針對問題核心，擊破氧化根源，,,Juvaly,非評論,,
5,Juvaly 馥華晶粹,嗨大家～我是小麥🦄🦄🦄 今天想要來分享的是✨ Juvaly 馥華精粹 真的超級好用的一款精華！ 真的有種相見恨晚的感覺 包裝超級有質感就不用說  產品用起來質地超級細緻 嫩 用上臉之後超好吸收 臉就是很嫩 很滑 感覺就是快速修護然後提升層次的感覺 真的必須大推薦！ 如果硬要說一個缺點 就是單價貴一點,,Juvaly,正面,價格偏高,"輕盈好吸收, 包裝質感, 保濕有感, 使用儀式感佳"
6,Juvaly 馥華晶粹,連續使用多年，對於混合肌的我來說，是不黏膩又保濕的精華。最推薦的原因是他的抗氧化帶來的修復消炎或退紅效果，每當換季皮膚不穩定，只要在平日保養流程外，多用他敷在敏感泛紅脫皮的地方；或是長了痘痘，就多點幾次在長痘之處，只要一到兩天就能明顯改善。是穩定膚況的好物,,Juvaly,正面,,"輕盈好吸收, 保濕有感, 抗老修護有感"
7,Juvaly 馥華晶粹,不黏膩但具備滋潤度，延展性極佳，只需要少量就能推塗全臉。 看官網說使用14天就能有感改善，實際使用起來確實有感覺膚況穩定許多，對油性肌來說沒有負擔，不擔心會致痘痘或粉刺，且因為沒有香味，所以可以跟手邊原有的產品一起搭配使用，不會覺得衝突，會再回購。,,Juvaly,正面,,"輕盈好吸收, 保濕有感, 無香精, 使用儀式感佳"
8,Juvaly 馥華晶粹,愛美是女人的天性 愛花錢是我的本性 - 什麼都愛嘗鮮 ~ 所以什麼都買 ~  - - Juvaly - 【馥華晶粹】  小樣 7ml*1 - 覺得他們家的試用品給得很大方 雖然要自己付運費 但是小樣非常的精緻 雖然是小樣瓶身也是做得非常的高級 . 味道上蠻好聞的 ~  很難以形容什麼味道但至少是香香的,,Juvaly,正面,,"香味宜人, 包裝質感"
9,Juvaly 馥華晶粹,我是在2022/03/14品牌包裝改版後於官網購入，這是首次買Juvaly正品容量，剛好遇到Juvaly品牌升級後的優惠活動，買了馥華晶粹、馥華凝膜、馥華晶露，得到滿額禮馥華雲霜。新包裝的設計好看更有質感。  會認識到這品牌是因為在搜尋「富勒烯」這成分時看到的，Juvaly 全系列產品含富勒烯。我本身,,Juvaly,正面,,包裝質感
10,Juvaly 馥華晶粹,這罐精華主要功效是緊致、延緩老化、亮白皮膚 是一瓶高效抗氧化的精華液 特別適合邁入3字頭的我😂  質地超水潤 帶點膠感 延展性有夠好 一次用量我都壓兩下 整張臉抹完還能抹到脖子去 吸收速度很快 不會有黏膩感 保濕度是有的 每次擦完皮膚摸起來超滑嫩 味道是淡淡人蔘味 不會很濃就淡淡的 擦完就聞不到了~,,Juvaly,正面,,"輕盈好吸收, 保濕有感, 溫和不刺激, 香味宜人"
11,Juvaly 馥華晶粹,馥華晶粹小小一罐，是裝在小的袋子裡面。    小罐裝的馥華晶粹有10ml，大約是兩周的使用量。       馥華晶粹是特殊的高濃度精華液，配合富勒烯小分子結構，可以快速滲透到肌膚底層，達到延緩老化、氧化，增加肌膚亮澤度的效果。    可以單獨使用或是配合其他保養精華液、底妝使用。       使,,Juvaly,非評論,,
12,Juvaly 馥華晶粹,這是我最近在臉書看到廣告刷版，而去嘗試的一款新品牌，  Juva Skincare是一個單純且針對輕熟齡設計的保養品   Juva Skincare是由科學家們組成的研發團隊，  針對許多人肌膚最大困擾在於皺紋、暗沉、蠟黃、  毛孔粗大、失去彈性等問題，開始著手追朔根源。   這一小瓶馥華晶粹雖然只,,Juvaly,非評論,,
13,Juvaly 馥華晶粹,在FB官網很久，趁著品牌在11月中的活動購買了。 使用第一天就很有感覺，我是化妝水後使用，早晚都用，每次用量大約是1元硬幣大小，隔天早上臉部肌膚就呈現很柔嫩的感覺。跟平常其他精華液相比，這個感覺很明顯。已經連續使用2週，皮膚明顯變得比較白皙，也沒有換季時期那種乾癢的感覺，上妝的效果也比較服貼，樸實的包,,Juvaly,正面,,"保濕有感, 使用儀式感佳, 輕盈好吸收"
